sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
SMT100;soil moisture, soil temperature;https://www.truebner.de/assets/download/Manual_SMT100_V1.0.pdf;Truebner;;Truebner-SMT100;dielectric constant;TDT
100 Sensotec Transducer;snow water equivalent;;;selfmade 100 pillow with Sensotec Transducers;Sensotec-Transducer-100;;
150 Sensotec Transducer;snow water equivalent;;;selfmade 150 pillow with Sensotec Transducers;Sensotec-Transducer-150;;
200 Sensotec Transducer;snow water equivalent;;;selfmade 200 pillow with Sensotec Transducers;Sensotec-Transducer-200;;
250 Sensotec Transducer;snow water equivalent;;;selfmade 250 pillow with Sensotec Transducers;Sensotec-Transducer-250;;
50 Sensotec Transducer;snow water equivalent;;;selfmade 50 pillow with Sensotec Transducers;Sensotec-Transducer-50;;
107;temperature;https://s.campbellsci.com/documents/us/manuals/107.pdf;Campbell Scientific;;Campbell-107;;
109;temperature;https://s.campbellsci.com/documents/us/manuals/109.pdf;Campbell Scientific;;Campbell-109;;
Tipping Bucket Rain Gauge Young;precipitation;https://www.youngusa.com/wp-content/uploads/2008/01/52202-9028K29.pdf;Young;;Young-rain-gauge;;
6507A;temperature;https://www.unidata.com.au/wp-content/uploads/2019/01/Unidata-Manual-6507E-and-6535A-Temperature-Probes-15-01-2019.pdf;Unidata;;Unidata-6507A;;
Rain Gauge;precipitation;https://www.th-friedrichs.de/en/products/rain/rain-gauge/rain-gauge/;Metek;;Metek-rain-gauge;;
Classic Probe;soil moisture;https://aquacheckusa.com/probes/;AquaCheck;;AquaCheck-CP;dielectric constant;FDR-Capacitance
ARG100;precipitation;https://s.campbellsci.com/documents/eu/manuals/arg100%20-%20078.pdf;Campbell Scientific;;Campbel-ARG100;;
ATMOS 41;precipitation, humidity, temperature, atmospheric pressure;https://library.metergroup.com/Manuals/20635_ATMOS41_Manual_Web.pdf;METER Group (former Decagon);;Meter-ATMOS41;;
Gypsum Block;soil moisture;http://mea.com.au/upload/Brochures/Soil%20Moisture%20Monitoring/Gypsum_Blocks_Web.pdf;Measurement Engineering;documentation outdated;ME-gypsum-block;matric potential;thermal conductivity
Buriable Waveguide;soil moisture;http://www.soilmoisture.com/BURIABLE/;Soilmoisture Equipment Corp;generic sensor TRASE System?;SE-TDR;dielectric constant;TDR
Unknown Campbell Sci;air temperatur, humidity;;Campbell Scientific;cs215?;Campbell-unknown;;
CRS-1000/B;soil moisture;https://hydroinnova.com/_downloads/CRS1000_v3.pdf;Hydroinnova;;Hydroinnova-CRS-1000B;neutron sensing;CRNS
CS215;air temperatur, humidity;https://s.campbellsci.com/documents/us/manuals/cs215.pdf;Campbell Scientific;;Campbell-CS215;;
229;soil moisture;https://s.campbellsci.com/documents/us/manuals/229.pdf;Campbell Scientific;heat dissipation;Campbell-229;matric potential;thermal conductivity
unknown soil temperature;soil temperature;;;custom made probe;CM-ST;;
unknown coring device, auger;soil;;;;Gravimetric;mass balance;gravimetric
Trase BE;soil moisture;https://www.soilmoisture.com/pdfs/Resource_Instructions_0898-6050_6050%20X3%20Mini%20Trase%20Kit%20Full%20Ops.Nov2012.pdf;;;Trase-BE;dielectric constant;TDR
TDR100;soil moisture;https://s.campbellsci.com/documents/us/manuals/tdr100.pdf;Campbell Scientific;;Campbell-TDR100;dielectric constant;TDR
TCAV;soil temperature;https://s.campbellsci.com/documents/us/manuals/tcav.pdf;Campbell Scientific;Averaging Soil Thermocouple Probe;Campbell-TCAV;;
TB4;precipitation;https://s.campbellsci.com/documents/us/manuals/tb4-cs700.pdf;Campbell Scientific;;Campbell-TB4;;
TA20;air temperatur, humidity;https://www.cae.it/upload/products/pdf/tu20/Termoigrometro_TU20.pdf;CAE;;CAE-TA20;;
DS2;windspeed, winddirection;http://publications.metergroup.com/Integrator%20Guide/DS-2%20Integrator%20Guide.pdf;METER Group;sonic anemometer;Meter-DS2;;
