network_abbr;orig_flag_name;orig_flag_description
TERENO;5_4054;derived product - baddata_manual deactivation
TERENO;5_4055;derived product - baddata_max preciptiation 6h
TERENO;5_4056;derived product - baddata_max preciptiation 12h
TERENO;5_4057;derived product - baddata_max preciptiation 24h
TERENO;5_4058;derived product - baddata_max preciptiation 2d
TERENO;5_4059;derived product - baddata_max preciptiation 5d
TERENO;5_4069;derived product - baddata_sealinglip
TERENO;5_4071;derived product - baddata_Analysis error
TERENO;5_5005;derived product - gapfilled_gapfilled
TERENO;5_5015;derived product - gapfilled_interpolated
TERENO;5_5016;derived product - gapfilled_extrapolated
TERENO;5_7007;derived product - modified_modified
TERENO;5_7022;derived product - modified_data not plausible
TERENO;5_7060;derived product - modified_drift corrected
TERENO;6_1001;checked automatically - unevaluated_unevaluated
TERENO;6_1010;checked automatically - unevaluated_autosampler
TERENO;6_1028;checked automatically - unevaluated_change sensor MPS
TERENO;6_15014;checked automatically - interpolated_unknown
TERENO;6_15015;checked automatically - interpolated_interpolated
TERENO;6_15061;checked automatically - interpolated_linreg other station
TERENO;6_15062;checked automatically - interpolated_replacedby other station
TERENO;6_15063;checked automatically - interpolated_linreg DWD station
TERENO;6_15064;checked automatically - interpolated_replacedby DWD station
TERENO;6_15065;checked automatically - interpolated_spline time
TERENO;6_15066;checked automatically - interpolated_linreg time
TERENO;6_2002;checked automatically - ok_ok
TERENO;6_2010;checked automatically - ok_autosampler
TERENO;6_2025;checked automatically - ok_goodquality
TERENO;6_2026;checked automatically - ok_moderatequality
TERENO;6_2027;checked automatically - ok_qualityunknown
TERENO;6_2067;checked automatically - ok_below detection limit
TERENO;6_2068;checked automatically - ok_above detection limit
TERENO;6_25025;checked automatically - goodquality_goodquality
TERENO;6_25066;checked automatically - goodquality_linreg time
TERENO;6_3003;checked automatically - suspicious_suspicious
TERENO;6_3010;checked automatically - suspicious_autosampler
TERENO;6_3011;checked automatically - suspicious_min
TERENO;6_3012;checked automatically - suspicious_max
TERENO;6_3014;checked automatically - suspicious_unknown
TERENO;4_3048;approved upload - suspicious - inconsistent time period
TERENO;6_3020;checked automatically - suspicious_unplausiblevariation
TERENO;6_3023;checked automatically - suspicious_frozen
TERENO;6_3028;checked automatically - suspicious_change sensor MPS
TERENO;6_3029;checked automatically - suspicious_sensorchange
TERENO;6_3033;checked automatically - suspicious_noisydata
